0.056486	0.050253	50.000000	256	1.000000
14000.000000	199.725752	0.370000	4.000000	0.315176	4.000000
14200.000000	199.333089	0.415000	4.000000	0.312949	4.000000
14400.000000	199.438167	0.405000	4.000000	0.306543	4.000000
14600.000000	199.052661	0.425000	4.000000	0.312207	4.000000
14800.000000	199.190667	0.385000	4.000000	0.307461	4.000000
15000.000000	199.029610	0.355000	4.000000	0.301211	4.000000
15200.000000	199.019624	0.385000	4.000000	0.306875	4.000000
15400.000000	199.008269	0.325000	4.000000	0.302383	4.000000
15600.000000	198.894401	0.335000	4.000000	0.303750	4.000000
15800.000000	198.873293	0.435000	4.000000	0.302129	4.000000
16000.000000	198.862272	0.425000	4.000000	0.302695	4.000000
16200.000000	198.875864	0.330000	4.000000	0.300664	4.000000
16400.000000	198.926438	0.460000	4.000000	0.295000	4.000000
16600.000000	198.784015	0.365000	4.000000	0.293848	4.000000
16800.000000	198.874985	0.315000	4.000000	0.292285	4.000000
17000.000000	198.799094	0.295000	4.000000	0.301348	4.000000
17200.000000	198.538033	0.415000	4.000000	0.299316	4.000000
17400.000000	198.525050	0.410000	4.000000	0.297285	4.000000
17600.000000	198.242794	0.360000	4.000000	0.291055	4.000000
17800.000000	198.159165	0.355000	4.000000	0.283320	4.000000
18000.000000	197.942875	0.375000	4.000000	0.296836	4.000000
18200.000000	197.844864	0.370000	4.000000	0.285039	4.000000
18400.000000	197.765468	0.400000	4.000000	0.285254	4.000000
18600.000000	197.614441	0.380000	4.000000	0.284961	4.000000
18800.000000	197.545181	0.380000	4.000000	0.287910	4.000000
19000.000000	197.427373	0.445000	4.000000	0.278984	4.000000
19200.000000	197.249351	0.335000	4.000000	0.268359	4.000000
19400.000000	197.026345	0.400000	4.000000	0.272871	4.000000
19600.000000	197.115162	0.415000	4.000000	0.275723	4.000000
19800.000000	196.972438	0.310000	4.000000	0.267773	4.000000
20000.000000	196.957690	0.390000	4.000000	0.272891	4.000000
20200.000000	197.150337	0.420000	4.000000	0.267773	4.000000
20400.000000	197.146379	0.335000	4.000000	0.272422	4.000000
20600.000000	197.198679	0.285000	4.000000	0.272324	4.000000
20800.000000	197.257525	0.345000	4.000000	0.267207	4.000000
21000.000000	197.117748	0.365000	4.000000	0.275430	4.000000
21200.000000	197.194071	0.330000	4.000000	0.271699	4.000000
21400.000000	196.949239	0.330000	4.000000	0.273164	4.000000
21600.000000	197.031931	0.395000	4.000000	0.271836	4.000000
21800.000000	196.848484	0.465000	4.000000	0.272070	4.000000
22000.000000	196.811435	0.420000	4.000000	0.268359	4.000000
22200.000000	196.695460	0.410000	4.000000	0.272188	4.000000
22400.000000	196.630774	0.355000	4.000000	0.266934	4.000000
22600.000000	196.744103	0.380000	4.000000	0.269238	4.000000
22800.000000	196.747466	0.370000	4.000000	0.268750	4.000000
23000.000000	196.613565	0.390000	4.000000	0.267813	4.000000
23200.000000	196.589642	0.420000	4.000000	0.264551	4.000000
23400.000000	196.814270	0.380000	4.000000	0.265313	4.000000
23600.000000	196.854733	0.380000	4.000000	0.270176	4.000000
23800.000000	196.588789	0.490000	4.000000	0.264961	4.000000
24000.000000	196.213970	0.450000	4.000000	0.265527	4.000000
24200.000000	196.157424	0.305000	4.000000	0.258281	4.000000
24400.000000	196.295225	0.435000	4.000000	0.258242	4.000000
24600.000000	196.415068	0.385000	4.000000	0.256602	4.000000
24800.000000	196.352867	0.315000	4.000000	0.250703	4.000000
25000.000000	196.104901	0.390000	4.000000	0.255820	4.000000
25200.000000	196.102289	0.415000	4.000000	0.259004	4.000000
25400.000000	196.065825	0.340000	4.000000	0.258203	4.000000
25600.000000	196.203856	0.400000	4.000000	0.259961	4.000000
25800.000000	196.011807	0.390000	4.000000	0.250234	4.000000
26000.000000	196.111927	0.345000	4.000000	0.257500	4.000000
26200.000000	196.188928	0.325000	4.000000	0.254160	4.000000
26400.000000	196.605852	0.420000	4.000000	0.266270	4.000000
26600.000000	196.679137	0.350000	4.000000	0.264922	4.000000
26800.000000	196.541794	0.380000	4.000000	0.262266	4.000000
27000.000000	196.546196	0.335000	4.000000	0.260391	4.000000
27200.000000	196.416868	0.405000	4.000000	0.263027	4.000000
27400.000000	196.361970	0.365000	4.000000	0.259434	4.000000
27600.000000	196.495912	0.390000	4.000000	0.264688	4.000000
27800.000000	196.520322	0.380000	4.000000	0.267168	4.000000
28000.000000	196.308348	0.465000	4.000000	0.263594	4.000000
28200.000000	196.147395	0.330000	4.000000	0.260605	4.000000
28400.000000	196.091647	0.360000	4.000000	0.252266	4.000000
28600.000000	196.100029	0.300000	4.000000	0.255527	4.000000
28800.000000	196.024634	0.295000	4.000000	0.252949	4.000000
29000.000000	195.837172	0.415000	4.000000	0.256836	4.000000
29200.000000	195.907802	0.365000	4.000000	0.260840	4.000000
29400.000000	195.831838	0.385000	4.000000	0.259551	4.000000
29600.000000	195.868022	0.315000	4.000000	0.256289	4.000000
29800.000000	195.884384	0.460000	4.000000	0.256113	4.000000
30000.000000	196.125329	0.395000	4.000000	0.251641	4.000000
30200.000000	196.210611	0.430000	4.000000	0.260117	4.000000
30400.000000	196.182895	0.380000	4.000000	0.256621	4.000000
30600.000000	196.107656	0.385000	4.000000	0.263535	4.000000
30800.000000	196.014331	0.320000	4.000000	0.257383	4.000000
31000.000000	195.699860	0.375000	4.000000	0.255820	4.000000
31200.000000	195.585495	0.340000	4.000000	0.247871	4.000000
31400.000000	195.686878	0.385000	4.000000	0.246035	4.000000
31600.000000	195.782177	0.265000	4.000000	0.252500	4.000000
31800.000000	195.827405	0.415000	4.000000	0.253340	4.000000
32000.000000	195.701081	0.320000	4.000000	0.250430	4.000000
32200.000000	195.853946	0.300000	4.000000	0.249941	4.000000
32400.000000	195.950744	0.370000	4.000000	0.250371	4.000000
32600.000000	195.890767	0.410000	4.000000	0.251074	4.000000
32800.000000	195.923843	0.325000	4.000000	0.252051	4.000000
33000.000000	195.887722	0.410000	4.000000	0.257324	4.000000
33200.000000	195.894423	0.400000	4.000000	0.250703	4.000000
33400.000000	195.918632	0.315000	4.000000	0.249961	4.000000
33600.000000	196.064375	0.405000	4.000000	0.255547	4.000000
33800.000000	196.131980	0.355000	4.000000	0.256992	4.000000
