# step  beta  Energy
394  0.500000  -281.678714
395  0.500000  -281.678714
396  0.500000  -282.726259
397  0.500000  -286.568978
398  0.500000  -286.568978
399  0.500000  -286.568978
400  0.500000  -286.896622
401  0.500000  -288.478198
402  0.500000  -288.850948
403  0.500000  -287.882160
404  0.500000  -286.473290
405  0.500000  -285.832624
406  0.500000  -287.649245
407  0.500000  -287.450125
408  0.500000  -288.589511
409  0.500000  -289.077663
410  0.500000  -291.428221
411  0.500000  -294.560318
412  0.500000  -292.560993
413  0.500000  -292.276070
414  0.500000  -293.592607
415  0.500000  -293.949791
416  0.500000  -293.989227
417  0.500000  -293.036234
418  0.500000  -296.260848
419  0.500000  -296.260848
420  0.500000  -296.490622
421  0.500000  -298.081691
422  0.500000  -297.852468
423  0.500000  -297.852468
424  0.500000  -297.852468
425  0.500000  -296.520390
426  0.500000  -297.089666
427  0.500000  -297.089666
428  0.500000  -297.089666
429  0.500000  -297.332575
430  0.500000  -297.332575
431  0.500000  -296.455571
432  0.500000  -297.836607
433  0.500000  -298.450402
434  0.500000  -298.450402
435  0.500000  -293.922441
436  0.500000  -291.872667
437  0.500000  -291.872667
438  0.500000  -292.821894
439  0.500000  -296.491962
440  0.500000  -293.733157
441  0.500000  -292.518964
442  0.500000  -292.518964
443  0.500000  -292.749911
444  0.500000  -292.749911
445  0.500000  -292.800425
446  0.500000  -291.672200
447  0.500000  -291.692693
448  0.500000  -291.752850
449  0.500000  -293.198195
450  0.500000  -293.187864
451  0.500000  -293.434164
452  0.500000  -293.267360
453  0.500000  -293.748333
454  0.500000  -293.370499
455  0.500000  -291.653403
456  0.500000  -291.653403
457  0.500000  -292.946544
458  0.500000  -292.946544
459  0.500000  -292.147365
460  0.500000  -290.235842
461  0.500000  -290.235842
462  0.500000  -290.071740
463  0.500000  -290.071740
464  0.500000  -288.716723
465  0.500000  -286.399506
466  0.500000  -286.363939
467  0.500000  -284.643559
468  0.500000  -284.649747
469  0.500000  -284.649747
470  0.500000  -285.736580
471  0.500000  -285.412199
472  0.500000  -286.619900
473  0.500000  -285.853148
474  0.500000  -285.853148
475  0.500000  -286.654150
476  0.500000  -287.014289
477  0.500000  -290.542878
478  0.500000  -290.542878
479  0.500000  -291.385696
480  0.500000  -291.385696
481  0.500000  -293.746850
482  0.500000  -294.551102
483  0.500000  -294.026659
484  0.500000  -293.799181
485  0.500000  -296.693538
486  0.500000  -296.975533
487  0.500000  -296.469158
488  0.500000  -298.068652
489  0.500000  -298.068652
490  0.500000  -298.848442
491  0.500000  -298.620003
492  0.500000  -298.563229
493  0.500000  -298.593786
494  0.500000  -300.092768
495  0.500000  -300.475252
496  0.500000  -299.506630
497  0.500000  -303.106066
498  0.500000  -303.071626
499  0.500000  -302.177936
500  0.500000  -304.546460
501  0.500000  -308.382132
502  0.500000  -308.798809
503  0.500000  -310.776344
504  0.500000  -310.776344
